['questionTag', 'id', 'questionText', 'helpText', 'explanation', 'language', 'description', 'responseType', 'imageFilePath', 'imageFileName', 'imageFileType']
BeautifulDay,49,Was the weather beautiful today?,,Explanation of this question,English,Description of this question,YesNoField,,,
QuestAssess,50,Did you successfully respond to the questions?,,Explanation for this question,English,Description for this question,YesNoField,,,
criticalPath,48,Do you want to diverge to Path 2?,,,English,This question tests conditional page transition.<lfeedr><lfeed><lfeedr><lfeed>Answering the questions determines whether the transition is to Path1 or Path2,YesNoField,,,
testQuest1,45,test question number,,Explanation for this Question,English,question 1,YesNoField,,,
testQuest2,46,test question number 2,,Explanation for this Question,English,question 2,YesNoField,,,
testQuest3,47,test question number 3,,Explanation for this Question,English,question 3,YesNoField,,,
ashkenaziJewishCloseRels,1,Is any close blood relative <lfeed><a title="Tap here to see what we mean by Ashkenazi Jewish for this survey"<lfeed>href="{{explainURLprefix}}ashkenazijewishrelatives">Ashkenazi Jewish?</a>. <lfeed><i>Ashkenazi Jewish people have a higher chance of <a title="Tap here to learn more about BRCA gene mutations" href="{{explainURLprefix}}brcatesting">BRCA gene mutations</a>.</i><lfeed>,,Ashkenazi Jewish relatives,English,family history,YesNoField,,,
ashkenaziJewishOneRel,2,Do you have at least one close blood relative who is <lfeedr><lfeed><a title="Tap here to see what we mean by Ashkenazi Jewish for this survey"<lfeedr><lfeed>href="{{explainURLprefix}}ashkenazijewishrelatives">Ashkenazi Jewish?</a>  <lfeedr><lfeed><i>Ashkenazi Jewish people have a higher chance of <a title="Tap here to learn more about BRCA gene mutations" href="{{explainURLprefix}}brcatesting">BRCA gene mutations</a></i>.,,Ashkenazi Jewish relatives,English,family history,YesNoField,,,
fHxBrCAMale,3,Has any <u>male</u> blood relative had breast cancer?,,,English,family history,YesNoField,,,
fHxBrCAOther,4,For any of your close blood relatives who had breast cancer<aComma> please indicate if that same relative also had:,,List additional cancers in family.,English,family history,MultipleChoiceField,,,
fHxBrCASameSideGE2,5,Have two or more close blood relatives from the <u>same side</u> of your family had breast cancer?,,,English,family history,YesNoField,,,
fHxBrCASuscGene,6,Have any close blood relatives been confirmed to have BRCA gene mutations?,,These mutations are also found in 10 to 15 women out of 100 who get ovarian cancer.,English,family history,YesNoField,,,
