['Questionnaire ID', 'Questionnaire Tag', 'Page ID', 'Page Tag', 'Next Page ID', 'Next Page shortTag', 'Test Condition', 'Record Type']
5,TestQuest,33,NewSummary,36,completion,next_page_default,next_page_default
5,TestQuest,37,Path1,33,NewSummary,next_page_default,next_page_default
5,TestQuest,38,Path2,33,NewSummary,next_page_default,next_page_default
5,TestQuest,29,TP1,31,TP2,next_page_default,next_page_default
5,TestQuest,31,TP2,38,Path2,[(u'criticalPath'<aComma> u'Yes')],calculated
5,TestQuest,31,TP2,37,Path1,next_page_default,next_page_default
5,TestQuest,30,newStart,30,newStart,start_page,start_page
5,TestQuest,30,newStart,32,respondentIdent,next_page_default,next_page_default
5,TestQuest,32,respondentIdent,29,TP1,next_page_default,next_page_default
1,BRCA,1,H1,2,H2,next_page_default,next_page_default
1,BRCA,2,H2,3,H3,next_page_default,next_page_default
1,BRCA,3,H3,4,H3a,next_page_default,next_page_default
1,BRCA,3,H3,6,H4,[(u'pHxBreastBiopsy'<aComma> u'No')],calculated
1,BRCA,4,H3a,5,H3b,next_page_default,next_page_default
1,BRCA,5,H3b,6,H4,next_page_default,next_page_default
1,BRCA,6,H4,7,H5,next_page_default,next_page_default
1,BRCA,7,H5,9,H6,[(u'pHxBirths'<aComma> 0)],calculated
1,BRCA,7,H5,8,H5a,next_page_default,next_page_default
1,BRCA,8,H5a,9,H6,next_page_default,next_page_default
1,BRCA,9,H6,10,H7,next_page_default,next_page_default
1,BRCA,10,H7,11,H7a,next_page_default,next_page_default
1,BRCA,11,H7a,12,P1,next_page_default,next_page_default
1,BRCA,12,P1,13,P2,next_page_default,next_page_default
1,BRCA,13,P2,14,P3,next_page_default,next_page_default
1,BRCA,14,P3,18,P4,next_page_default,next_page_default
1,BRCA,14,P3,15,P3a,[(u'pHxBreastCA'<aComma> u'Yes')],calculated
1,BRCA,15,P3a,16,P3b,next_page_default,next_page_default
1,BRCA,16,P3b,17,P3c,next_page_default,next_page_default
1,BRCA,17,P3c,21,P5,next_page_default,next_page_default
1,BRCA,18,P4,19,P4a,[(u'ashkenaziJewishCloseRels'<aComma> u'No')<aComma> (u'fHxBrCASuscGene'<aComma> u'Yes')<aComma> (u'fHxBreastCA'<aComma> u'Yes')],calculated
1,BRCA,18,P4,21,P5,next_page_default,next_page_default
1,BRCA,18,P4,19,P4a,[(u'ashkenaziJewishCloseRels'<aComma> u'Yes')<aComma> (u'fHxBrCASuscGene'<aComma> u'Yes')<aComma> (u'fHxBreastCA'<aComma> u'Yes')],calculated
1,BRCA,18,P4,19,P4a,[(u'ashkenaziJewishCloseRels'<aComma> u'Yes')<aComma> (u'fHxBrCASuscGene'<aComma> u'No')<aComma> (u'fHxBreastCA'<aComma> u'Yes')],calculated
1,BRCA,18,P4,19,P4a,[(u'ashkenaziJewishCloseRels'<aComma> u'No')<aComma> (u'fHxBrCASuscGene'<aComma> u'No')<aComma> (u'fHxBreastCA'<aComma> u'Yes')],calculated
1,BRCA,19,P4a,20,P4b,next_page_default,next_page_default
1,BRCA,20,P4b,21,P5,next_page_default,next_page_default
1,BRCA,21,P5,22,SummaryPage,next_page_default,next_page_default
1,BRCA,22,SummaryPage,23,avgRisk,next_page_default,next_page_default
1,BRCA,22,SummaryPage,25,indetRisk,Indeterminate,globalFlag
1,BRCA,22,SummaryPage,27,riskAssess2,Referral,globalFlag
1,BRCA,23,avgRisk,24,completion,next_page_default,next_page_default
1,BRCA,25,indetRisk,24,completion,next_page_default,next_page_default
1,BRCA,26,respondentIdent,1,H1,next_page_default,next_page_default
1,BRCA,27,riskAssess2,24,completion,next_page_default,next_page_default
1,BRCA,28,splash,26,respondentIdent,next_page_default,next_page_default
1,BRCA,28,splash,28,splash,start_page,start_page
2,BRCA_F,12,P1,13,P2,next_page_default,next_page_default
2,BRCA_F,12,P1,22,SummaryPage,Referral,globalFlag
